"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\.eslintrc.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 0, 9, 17
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\README.md", "Markdown", 0, 0, 0, 0, 0, 51, 0, 2, 21, 74
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\nest-cli.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\package-lock.json", "JSON", 0, 0, 12858, 0, 0, 0, 0, 0, 1, 12859
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\package.json", "JSON", 0, 0, 86, 0, 0, 0, 0, 0, 1, 87
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\almacen\almacen.controller.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 9, 31
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\almacen\almacen.module.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\almacen\almacen.service.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\emails\emails.controller.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\emails\emails.module.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\emails\emails.service.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 15, 58
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\estadistica\estadistica.controller.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\estadistica\estadistica.module.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\estadistica\estadistica.service.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 0, 3, 23, 172
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\funcionalidad\funcionalidad.controller.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 2, 19, 105
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\funcionalidad\funcionalidad.module.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\api\funcionalidad\funcionalidad.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
